,Mean_AT_balanced,Std_AT_balanced,PValue_AT_balanced,WinningCount_AT_balanced,Mean_LE_balanced,Std_LE_balanced,PValue_LE_balanced,WinningCount_LE_balanced
RandCBPside2_10_5_07,648.9375,80.01984128952019,1.0,86,1173.28125,86.24929633580237,1.0,79
RandCBPside2_1_5_07,1016.3125,82.15086410795817,4.47565903908287e-77,0,2026.6041666666667,70.16123973679134,3.0389844170425207e-139,0
RandCBPside2_18_5_07,3110.3854166666665,87.87866872379591,1.7110961462607246e-222,0,5771.541666666667,99.84471276270298,3.024616627306377e-262,0
RandCBPside2_116_5_07,3213.5833333333335,87.40837809617284,2.9776425703792498e-226,0,5938.760416666667,99.8930738647097,4.478182390724453e-265,0
RandCBPside2_132_5_07,3239.6354166666665,88.18415179153781,2.182511251812452e-226,0,5981.875,99.92262796257596,9.049756918984732e-266,0
RandCBPside2_10_10_07,648.9375,80.01984128952019,1.0,86,1173.28125,86.24929633580237,1.0,79
RandCBPside2_1_10_07,1328.4166666666667,84.33263296290552,1.4232768687064067e-121,0,2373.2291666666665,92.96377100407581,1.7686822051152175e-159,0
RandCBPside2_18_10_07,3478.8958333333335,91.88442158399084,6.030898653161242e-230,0,6385.260416666667,97.83350462491356,1.6159585666275229e-274,0
RandCBPside2_116_10_07,3601.5833333333335,91.62310288598691,1.2066252490735019e-233,0,6597.395833333333,99.2174092498167,2.867897954688074e-276,0
RandCBPside2_132_10_07,3632.7604166666665,91.71325391121206,2.1250754615912345e-234,0,6651.0,99.22892192989109,4.732068705076402e-277,0
RandCBPside2_10_20_07,650.34375,79.62052474410298,0.9029814590617878,43,1183.7916666666667,86.21184637937151,0.39947422698097446,31
RandCBPside2_1_20_07,1453.75,86.28984205632354,1.2695926840090276e-133,0,2528.9895833333335,93.425286196389,5.429891820991024e-169,0
RandCBPside2_18_20_07,3629.28125,92.12539545012605,7.174884679012483e-234,0,6646.541666666667,95.30713969684004,4.939901131133753e-281,0
RandCBPside2_116_20_07,3757.09375,92.63068471084514,1.0278991268463077e-236,0,6870.166666666667,98.04925364504759,1.6565410982290317e-281,0
RandCBPside2_132_20_07,3790.65625,93.70713932527401,2.1447894369234606e-236,0,6928.604166666667,97.85881120177457,1.5420013350851777e-282,0
RandCBPside2_10_100_07,725.0833333333334,81.37265371075117,5.626435522041648e-10,0,1286.4270833333333,88.12332802942962,2.4883603463196497e-16,0
RandCBPside2_1_100_07,1550.3125,87.61702700418813,1.1180792954743054e-141,0,2650.4791666666665,101.38908683790658,9.313399596729435e-170,0
RandCBPside2_18_100_07,3737.9166666666665,93.09549897725755,1.0386980474900001e-235,0,6831.71875,92.4259821211148,2.3972959603777873e-286,0
RandCBPside2_116_100_07,3870.59375,94.26441848388639,8.752667211984939e-238,0,7067.104166666667,95.08439233999798,2.726596434553919e-287,0
RandCBPside2_132_100_07,3904.8645833333335,94.88969993370604,6.451487035259751e-238,0,7123.9375,94.25584583294668,7.381484244051472e-289,0
